"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Botswana","BWA","Cereal production (metric tons)","AG.PRD.CREL.MT","","62161","16900","18550","11506","11599","35466","65529","25943","50075","11530","96400","79500","34517","110750","67050","123147","73600","34200","9750","45900","54195","19320","16765","9525","20670","23500","24275","108280","77275","54430","52300","22500","46376","55405","62769","89530","43946","14934","20827","24576","23080","34479","35885","26672","36513","43810","31312","36741","55378","50345","74024","37457","19366","50249","44184","37798","23470","36284","","",
"Central African Republic","CAF","Cereal production (metric tons)","AG.PRD.CREL.MT","","68000","83300","84300","87000","88500","85500","89600","92800","99476","92188","95477","99900","103650","101362","94672","96000","93000","92918","93145","99862","116073","120200","102676","102100","110772","177889","126314","143158","123580","89142","91504","93947","93637","100706","112818","126400","138400","147500","161000","165600","182600","193300","201800","209900","230994","227000","236570","235527","250667","249000","258128","259248","203144","133356","131695","143104","141537","137904","","",
"Canada","CAN","Cereal production (metric tons)","AG.PRD.CREL.MT","","16730306","29261250","34122307","28504578","32228771","38663261","30080426","34413439","35922333","28560715","38859750","35466355","36600202","30864826","37107574","44710278","42239008","41895782","35955000","41364700","50862200","53333208","47447208","42793504","48239300","56964700","51635200","35494200","48089308","56806235","53852300","49642650","51483100","46618500","49344200","58494100","49606900","50984500","54112600","51090400","43391400","36046900","49197200","50778200","50962400","48577300","48005300","56030400","49691900","46122200","48337200","51839900","66528601","51683501","53563000","58904067","56377700","58095800","","",
"Central Europe and the Baltics","CEB","Cereal production (metric tons)","AG.PRD.CREL.MT","","37314040","35018224","36600409","37350064","41566188","44139148","44241723","44456063","47189498","41322641","51295448","56271908","54697027","55604691","54755880","60494032","57926590","60727030","56320928","59359513","57432196","66006856","61460962","69416772","63435998","67554227","64393196","66573809","70280804","65874490","71934132","55532052","70674727","75279886","80133730","71697772","86942160","79227746","75782501","63008051","84688566","77474417","63692394","99059105","88094730","74034452","66934778","91143023","86024255","81280936","89668740","79411882","94100903","105877821","96099252","103432662","105791344","104992811","","",
"Switzerland","CHE","Cereal production (metric tons)","AG.PRD.CREL.MT","","517800","697400","514700","632200","557900","566600","672800","652600","640400","633700","743000","738400","749600","856800","756900","795500","690000","835100","875000","789100","863500","928900","899600","1118200","1054400","959900","939000","1243700","1410700","1268000","1273639","1182772","1252968","1213740","1245612","1317471","1194083","1240975","1028481","1169500","1079600","1087700","847200","1089000","1056500","1013200","1012697","1002471","1006184","924003","999473","950518","867294","994406","910072","743880","976614","882055","","",
"Channel Islands","CHI","Cereal production (metric tons)","AG.PRD.CREL.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Cereal production (metric tons)","AG.PRD.CREL.MT","","1476591","1389968","1561408","1656255","1620504","1914918","1890890","1961730","1590124","1840835","1931264","1827016","1320638","1653790","1671151","1406210","1977820","1483220","1936840","1754570","1535090","1447650","1437080","2115610","2359916","2674806","2819062","2799539","3147704","2980600","2863844","2900504","2643035","2618939","2765799","2577562","3077333","3098078","2167950","2589760","3115635","3380192","3692845","3999404","3989070","3565734","2855245","3302330","3125486","3588462","3950348","3464791","4004023","3478752","3788921","3872403","3471010","3661435","","",
"China","CHN","Cereal production (metric tons)","AG.PRD.CREL.MT","","109659976","120421293","137456233","152356625","162156281","177613486","181182167","177133015","176486754","200836854","212142760","206516977","221853449","234636870","244525529","250213735","243286035","273038118","292727509","280287437","286450038","315364050","345626506","365937335","339877377","352084647","359240676","351824290","367636080","404719096","398896071","404275226","407930462","396460120","418664201","453439300","445931409","458394739","455192431","407336509","398396811","398688240","376655003","413163790","429370265","452800282","457809418","480125970","483277147","497920509","521171808","541163568","554422547","559325222","623197344","618011522","619879237","612170193","","",
"Cote d'Ivoire","CIV","Cereal production (metric tons)","AG.PRD.CREL.MT","","294000","451000","440600","478900","481500","524600","620600","625600","617800","591900","711400","585900","613400","693900","837525","780125","809385","846450","889850","859900","846680","934475","818885","1096250","1082424","1043119","1079837","1150577","1194341","1241131","1224938","1245791","1267664","1290241","1321407","1354230","1221428","1243200","1264364","1285904","1307824","1330096","1334280","1378128","1424903","1441779","1224570","1408447","1428840","1961771","1607414","2332512","2712481","2855919","3308600","3159200","3290400","3266110","","",
"Cameroon","CMR","Cereal production (metric tons)","AG.PRD.CREL.MT","","703583","689048","700750","694099","673250","725794","631191","643847","788129","737727","798840","777845","769867","860079","1102526","834899","846930","887449","872186","891774","834621","961200","889155","657375","815330","1094453","714801","899635","857532","816296","994962","1019075","986587","960798","1179858","1296414","1267562","1411779","1185284","1275031","1356269","1498928","1587074","1684566","1873821","2096108","2368430","2474095","2820274","3011835","2988076","3229408","3197150","3357848","3667036","3963204","4081984","4198483","","",
